Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Category
2006,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39524,0,0,1,0,0,0,0,0,1,5,57,3,2,Off-campus criminal offense
2006,236939,Washington State University,380000,1,Pullman Campus,23655,0,0,2,0,0,0,0,0,0,0,17,0,0,Off-campus criminal offense
2006,237011,Western Washington University,380200,1,Bellingham Campus,14035,0,0,1,0,0,0,0,0,5,0,2,19,0,Off-campus criminal offense
2006,237057,Whitman College,380300,1,Whitman College,1455,0,0,3,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2007,235316,Gonzaga University,377800,1,Main Campus,6873,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2007,236948,University of Washington-Seattle Campus,379800,1,Main Campus,40218,0,0,8,0,0,0,0,0,3,0,64,43,2,Off-campus criminal offense
2007,236939,Washington State University,380000,1,Pullman Campus,24396,0,0,5,0,0,0,0,0,0,0,16,0,0,Off-campus criminal offense
2007,237011,Western Washington University,380200,1,Bellingham Campus,14276,0,0,1,0,0,0,0,0,1,3,2,13,0,Off-campus criminal offense
2007,237057,Whitman College,380300,1,Whitman College,1489,0,0,0,0,0,0,0,0,0,1,2,0,0,Off-campus criminal offense
2008,235316,Gonzaga University,377800,1,Main Campus,7272,0,0,0,0,0,0,0,0,0,0,0,3,0,Off-campus criminal offense
2008,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39675,0,0,1,0,0,0,0,0,4,2,57,2,2,Off-campus criminal offense
2008,236939,Washington State University,380000,1,Pullman Campus,25352,0,0,2,0,0,0,0,0,0,2,20,1,0,Off-campus criminal offense
2008,237011,Western Washington University,380200,1,Bellingham Campus,14620,0,0,0,0,0,0,0,0,0,2,0,3,0,Off-campus criminal offense
2008,237057,Whitman College,380300,1,Whitman College,1458,0,0,3,0,0,0,0,0,0,1,1,0,0,Off-campus criminal offense
2009,235316,Gonzaga University,377800,1,Main Campus,7633,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2009,236595,Seattle University,379000,1,Main Campus,7751,0,0,0,0,0,0,0,0,0,0,1,0,0,Off-campus criminal offense
2009,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45943,0,0,5,0,0,0,0,0,3,2,25,2,1,Off-campus criminal offense
2009,236939,Washington State University,380000,1,Pullman Campus,26101,0,0,1,0,0,0,0,0,0,2,14,0,1,Off-campus criminal offense
2009,237011,Western Washington University,380200,1,Bellingham Campus,14575,0,0,0,0,0,0,0,0,1,0,0,2,0,Off-campus criminal offense
2009,237057,Whitman College,380300,1,Whitman College,1515,0,0,2,0,0,0,0,0,0,0,2,0,0,Off-campus criminal offense
2010,235316,Gonzaga University,377800,1,Main Campus,7738,0,0,0,0,0,0,0,0,1,0,1,0,0,Off-campus criminal offense
2010,236595,Seattle University,379000,1,Main Campus,7817,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2010,236948,University of Washington-Seattle Campus,379800,1,Main Campus,42451,0,0,0,0,0,0,0,0,0,3,16,1,0,Off-campus criminal offense
2010,236939,Washington State University,380000,1,Pullman Campus,26308,0,0,3,0,0,0,0,0,0,0,25,1,0,Off-campus criminal offense
2010,237011,Western Washington University,380200,1,Bellingham Campus,14979,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2010,237057,Whitman College,380300,1,Whitman College,1555,0,0,3,0,0,0,0,0,0,1,1,0,0,Off-campus criminal offense
2011,235316,Gonzaga University,377800,1,Main Campus,7764,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2011,236595,Seattle University,379000,1,Main Campus,7755,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2011,236948,University of Washington-Seattle Campus,379800,1,Main Campus,42444,0,0,24,0,0,0,0,0,2,8,79,17,2,Off-campus criminal offense
2011,236939,Washington State University,380000,1,Pullman Campus,27329,0,0,1,0,0,0,0,0,0,2,16,0,0,Off-campus criminal offense
2011,237011,Western Washington University,380200,1,Bellingham Campus,14842,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2011,237057,Whitman College,380300,1,Whitman College,1596,0,0,1,0,0,0,0,0,0,0,1,0,0,Off-campus criminal offense
2012,235316,Gonzaga University,377800,1,Main Campus,7781,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2012,236595,Seattle University,379000,1,Main Campus,7484,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2012,236948,University of Washington-Seattle Campus,379800,1,Main Campus,43485,0,0,11,0,0,0,0,0,1,7,58,4,0,Off-campus criminal offense
2012,236939,Washington State University,380000,1,Pullman Campus,27679,0,0,4,0,0,0,0,0,0,1,16,0,0,Off-campus criminal offense
2012,237011,Western Washington University,380200,1,Bellingham Campus,14833,0,0,0,0,0,0,0,0,0,0,1,1,0,Off-campus criminal offense
2012,237057,Whitman College,380300,1,Whitman College,1539,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2013,235316,Gonzaga University,377800,1,Main Campus,7605,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2013,236595,Seattle University,379000,1,Main Campus,7422,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2013,236948,University of Washington-Seattle Campus,379800,1,Main Campus,43762,0,0,7,0,0,0,0,0,6,15,62,22,1,Off-campus criminal offense
2013,236939,Washington State University,380000,1,Pullman Campus,27642,0,0,0,0,0,0,0,0,0,2,12,0,0,Off-campus criminal offense
2013,237011,Western Washington University,380200,1,Bellingham Campus,14950,0,0,0,0,0,0,0,0,0,0,1,0,0,Off-campus criminal offense
