Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations,Category
2005,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39251,0,0,0,Public discipline
2005,236939,Washington State University,380000,1,Pullman Campus,23544,0,0,0,Public discipline
2005,237011,Western Washington University,380200,1,Bellingham Campus,14247,0,0,0,Public discipline
2005,237057,Whitman College,380300,1,Whitman College,1512,0,0,0,Public discipline
2006,235316,Gonzaga University,377800,1,Main Campus,6607,0,0,25,Public discipline
2006,236595,Seattle University,379000,1,Main Campus,7226,0,0,0,Public discipline
2006,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39524,0,0,0,Public discipline
2006,236939,Washington State University,380000,1,Pullman Campus,23655,0,0,0,Public discipline
2006,237011,Western Washington University,380200,1,Bellingham Campus,14035,0,0,0,Public discipline
2006,237057,Whitman College,380300,1,Whitman College,1455,0,0,0,Public discipline
2007,235316,Gonzaga University,377800,1,Main Campus,6873,0,0,14,Public discipline
2007,236595,Seattle University,379000,1,Main Campus,7529,0,0,0,Public discipline
2007,236948,University of Washington-Seattle Campus,379800,1,Main Campus,40218,0,0,0,Public discipline
2007,236939,Washington State University,380000,1,Pullman Campus,24396,0,0,0,Public discipline
2007,237011,Western Washington University,380200,1,Bellingham Campus,14276,0,0,0,Public discipline
2007,237057,Whitman College,380300,1,Whitman College,1489,0,0,0,Public discipline
2008,235316,Gonzaga University,377800,1,Main Campus,7272,0,1,8,Public discipline
2008,236595,Seattle University,379000,1,Main Campus,7560,0,0,0,Public discipline
2008,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39675,0,0,0,Public discipline
2008,236939,Washington State University,380000,1,Pullman Campus,25352,0,14,119,Public discipline
2008,237011,Western Washington University,380200,1,Bellingham Campus,14620,0,0,0,Public discipline
2008,237057,Whitman College,380300,1,Whitman College,1458,0,0,0,Public discipline
2009,235316,Gonzaga University,377800,1,Main Campus,7633,0,0,3,Public discipline
2009,236595,Seattle University,379000,1,Main Campus,7751,0,0,0,Public discipline
2009,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45943,0,0,0,Public discipline
2009,236939,Washington State University,380000,1,Pullman Campus,26101,0,0,0,Public discipline
2009,237011,Western Washington University,380200,1,Bellingham Campus,14575,0,0,0,Public discipline
2009,237057,Whitman College,380300,1,Whitman College,1515,0,0,0,Public discipline
2010,235316,Gonzaga University,377800,1,Main Campus,7738,0,0,9,Public discipline
2010,236595,Seattle University,379000,1,Main Campus,7817,0,0,0,Public discipline
2010,236948,University of Washington-Seattle Campus,379800,1,Main Campus,42451,0,0,0,Public discipline
2010,236939,Washington State University,380000,1,Pullman Campus,26308,0,10,14,Public discipline
2010,237011,Western Washington University,380200,1,Bellingham Campus,14979,0,0,0,Public discipline
2010,237057,Whitman College,380300,1,Whitman College,1555,0,0,0,Public discipline
2011,235316,Gonzaga University,377800,1,Main Campus,7764,0,1,4,Public discipline
2011,236595,Seattle University,379000,1,Main Campus,7755,0,0,0,Public discipline
2011,236948,University of Washington-Seattle Campus,379800,1,Main Campus,42444,0,0,0,Public discipline
2011,236939,Washington State University,380000,1,Pullman Campus,27329,0,7,6,Public discipline
2011,237011,Western Washington University,380200,1,Bellingham Campus,14842,0,0,0,Public discipline
2011,237057,Whitman College,380300,1,Whitman College,1596,0,0,0,Public discipline
2012,235316,Gonzaga University,377800,1,Main Campus,7781,0,0,0,Public discipline
2012,236595,Seattle University,379000,1,Main Campus,7484,0,0,1,Public discipline
